name,mz,type,ms2_mz,mz_tol,ms2_window_sec,charge,neutral_mass,source,use_for_efficiency,notes
CleanCap_AG_AG_capped_z1,1224.1146,Capped,,,,1,1225.1219,template,True,Capped AG T1 fragment; cap remains attached after RNase T1 digestion
CleanCap_AG_AG_capped_z2,611.5537,Capped,,,,2,1225.1219,template,True,Capped AG T1 fragment z=2
5' pppAG_z1,931.0022,Uncapped,,,,1,932.0095,template,True,Uncapped triphosphate AG ladder
5' ppAG_z1,851.0359,Uncapped,,,,1,852.0432,template,True,Uncapped diphosphate AG ladder
5' pAG_z1,771.0696,Uncapped,,,,1,772.0768,template,True,Uncapped monophosphate AG ladder
5' pppG_z1,601.9497,Uncapped,,,,1,602.957,template,False,G-only ladder; diagnostic by default unless intentionally included in denominator
